type_of_house,living_space,number_of_rooms,rent,construction_year,street,zipcode,region,tag
Etagenwohnung,62,2,1350,2011,Kurfürstenstr. 14a,60486,"Frankfurt am Main, Bockenheim",/expose/61973555
Etagenwohnung,45,1,205,unbekannt,Pfingstbrunnenstraße 40,60486,"Frankfurt, Bockenheim",/expose/83854266
Dachgeschoss,80,3,1550,1880,Kurfürstenstr. 49,60486,"Frankfurt am Main, Bockenheim",/expose/114237680
,60,2,1040,unbekannt,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435895
Etagenwohnung,81,3,1445,2005,Voltastraße 43,60486,"Frankfurt am Main, Bockenheim",/expose/114546550
Dachgeschoss,20,1,440,1965,,60486,"Frankfurt, Bockenheim",/expose/82913104
Etagenwohnung,83,2,1445,2005,Voltastraße 41,60486,"Frankfurt am Main, Bockenheim",/expose/113486807
Etagenwohnung,100,2,2080,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113395106
,60,2,1040,unbekannt,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435845
Maisonette,115,3,1950,2009,Ohmstraße 55,60486,"Frankfurt am Main, Bockenheim",/expose/114348636
,80,3,2050,1999,Ohmstr. 000,60486,"Frankfurt, Bockenheim",/expose/105155544
Dachgeschoss,60,2,1040,unbekannt,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435871
Etagenwohnung,50,,950,2008,Galvanistraße 29,60486,"Frankfurt, Bockenheim",/expose/114484217
Etagenwohnung,59,2,1110,,Ohmstraße 9,60486,"Frankfurt Bockenheim, Frankfurt am Main",/expose/114496934
Etagenwohnung,82,3,1695,2006,,60486,"Frankfurt, Bockenheim",/expose/114286860
Penthouse,85,3,1630,2002,,60487,"Frankfurt am Main, Bockenheim",/expose/57895064
Etagenwohnung,20,1,775,2011,Salvador-Allende-Straße X,60487,"Frankfurt, Bockenheim",/expose/114524202
,23,1,830,1988,Große Seestr. 000,60487,"Frankfurt, Bockenheim",/expose/114309547
Etagenwohnung,65,2,1450,,Kurfürstenstraße 14A,60486,"Frankfurt am Main, Bockenheim",/expose/113847915
Etagenwohnung,110,2,2200,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113394833
Etagenwohnung,62,2,1350,2011,Kurfürstenstr. 14a,60486,"Frankfurt am Main, Bockenheim",/expose/61973555
Etagenwohnung,45,1,205,unbekannt,Pfingstbrunnenstraße 40,60486,"Frankfurt, Bockenheim",/expose/83854266
Dachgeschoss,80,3,1550,1880,Kurfürstenstr. 49,60486,"Frankfurt am Main, Bockenheim",/expose/114237680
,60,2,1040,unbekannt,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435895
Etagenwohnung,81,3,1445,2005,Voltastraße 43,60486,"Frankfurt am Main, Bockenheim",/expose/114546550
Dachgeschoss,20,1,440,1965,,60486,"Frankfurt, Bockenheim",/expose/82913104
Etagenwohnung,83,2,1445,2005,Voltastraße 41,60486,"Frankfurt am Main, Bockenheim",/expose/113486807
Etagenwohnung,100,2,2080,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113395106
,60,2,1040,unbekannt,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435845
